,defector_rate,delta,avg_scores,avg_coop_rates,avg_S_R,avg_S_R_bar
0,0.2,0.5,"[0.22981666966469164, 0.22100369261404498, 0.3779371343536632, 0.22967607659214162, 0.21401163729922346, 0.2417320234609794, 0.21082790091890888, 0.22958663566490337, 0.3226349401045798, 0.23399262129426193]","[0.7154999999999997, 0.7435000000000008, 0.18900000000000033, 0.7154999999999996, 0.7340000000000002, 0.7149999999999999, 0.7410000000000002, 0.7314999999999998, 0.2000000000000003, 0.7294999999999996]",24.000089041530146,0.7248778435887828
1,0.2,0.75,"[0.7061250263617547, 0.6343657397305285, 0.44194255975006963, 0.44264432870818277, 0.41460517806548547, 0.4022899576627932, 0.42006774960450827, 0.43936429081164813, 0.4277229142314271, 0.4493769240993275]","[0.18750000000000022, 0.20450000000000024, 0.7219999999999998, 0.7269999999999999, 0.7289999999999999, 0.7224999999999995, 0.7150000000000004, 0.7155000000000007, 0.7400000000000001, 0.7310000000000003]",23.570016720320655,0.7118883127480388
2,0.2,0.95,"[2.1978181615347694, 2.1896979408379385, 2.2084487111131867, 2.0693045613910344, 2.178827850368382, 2.096650781375316, 2.082353781059321, 2.246379695308249, 2.384417683651192, 2.121215908375547]","[0.7279999999999999, 0.7019999999999995, 0.7275000000000003, 0.701, 0.6959999999999996, 0.7195000000000001, 0.7295000000000009, 0.19350000000000026, 0.1865000000000002, 0.7410000000000005]",23.89213536692413,0.7216173045665951
3,0.5,0.5,"[0.14683957333597208, 0.3225596595871203, 0.2647073504202564, 0.2643550374254307, 0.2907087373701608, 0.13823922684452727, 0.2664637544484276, 0.1566022457248624, 0.16813773571302285, 0.1255065836717437]","[0.6784999999999997, 0.1855000000000003, 0.19950000000000012, 0.19350000000000034, 0.18700000000000025, 0.6420000000000001, 0.2050000000000002, 0.6329999999999998, 0.6509999999999995, 0.6955000000000005]",27.840214602858833,0.8408616606150148
4,0.5,0.75,"[0.5006473180360423, 0.3380323753037133, 0.2984645628034183, 0.3129634062249661, 0.45742851260903267, 0.46934794973257365, 0.546853013596056, 0.3160688169587224, 0.477029251335372, 0.28356104032059165]","[0.1775000000000003, 0.6669999999999994, 0.6589999999999996, 0.6619999999999994, 0.19950000000000037, 0.1895000000000004, 0.18350000000000036, 0.6829999999999998, 0.1895000000000001, 0.6420000000000001]",27.79724057220197,0.8395637103191237
5,0.5,0.95,"[1.6368026657625427, 1.9778473697331742, 1.8745528269428622, 1.5504552121914934, 1.5188490789831024, 1.5871674976977368, 2.0423571968089815, 2.0427326994154527, 1.9002582087251827, 1.6358533382146314]","[0.6389999999999997, 0.18700000000000017, 0.19500000000000017, 0.6444999999999997, 0.6664999999999998, 0.6380000000000002, 0.19300000000000025, 0.19800000000000015, 0.21300000000000024, 0.6189999999999997]",28.20473591185253,0.851871345618611
