N,p_defect,R_mean,R_ci95,SR_raw_mean,Sbar_mean,Sbar_ci95
10,0.35,0.06324315088218568,0.00891074348976495,0.3540337626986866,0.010692928264498016,2.4038811841106418e-05
10,0.37,0.06481946565968508,0.008841993570311926,0.3541140652943131,0.01069535365434768,2.1423591688811118e-05
10,0.39,0.06653235111479998,0.008769664154698511,0.35423242492456386,0.010698928485815832,1.7006320127462448e-05
10,0.41000000000000003,0.06860280436368818,0.009002902709991774,0.35424853549507135,0.01069941507549424,1.6838293321396167e-05
10,0.43000000000000005,0.07053867973238132,0.009392514121131719,0.35406470926560896,0.010693862947725999,1.6991937753946334e-05
10,0.45000000000000007,0.07319863144608359,0.009471044411245974,0.3538358017358399,0.01068694922351968,1.921913527797285e-05
10,0.4700000000000001,0.07565582082750845,0.009502167138128983,0.3534598843769601,0.01067559534212362,2.123066025495791e-05
10,0.4900000000000001,0.07734692758090611,0.009141706826479204,0.3529036831260933,0.010658796322643651,2.3191452554611175e-05
10,0.5100000000000001,0.07976379054873137,0.009381113627421885,0.352306243915239,0.010640751787638384,2.63325179373325e-05
10,0.5300000000000001,0.08193500930158175,0.009030127073348323,0.35147554081794985,0.010615661952813871,3.152726219154478e-05
10,0.5500000000000002,0.08456355832298898,0.008998782386286075,0.3506346595378412,0.010590264704995973,3.528651614680251e-05
20,0.35,0.0392274808126034,0.0032215427153984002,0.35453715130868774,0.0025361365682001072,3.301395688360201e-06
20,0.37,0.040929719722426705,0.0032997035809747086,0.35465795501431885,0.00253700072219439,3.2703631427031966e-06
20,0.39,0.04265212353274615,0.00334075910601182,0.35471155244620933,0.0025373841246290217,3.107217811794298e-06
20,0.41000000000000003,0.04461434876483737,0.0033006681280054366,0.35460035330629325,0.0025365886756780376,3.159239053077485e-06
20,0.43000000000000005,0.04636199858020461,0.00322202925088403,0.3543769785943901,0.0025349907929930276,3.18494981122928e-06
20,0.45000000000000007,0.04827680660128848,0.0033016503660594472,0.35404311002294386,0.0025326025064907752,3.099526105666633e-06
20,0.4700000000000001,0.050111525380103605,0.0033812086828100634,0.35357397480952557,0.002529246607212551,3.01996200387844e-06
20,0.4900000000000001,0.05206021178747687,0.0034274021191708047,0.35295088854822865,0.002524789438629272,2.9831501835572015e-06
20,0.5100000000000001,0.05398006369620617,0.0034929519215163634,0.35217075890155847,0.002519208880096679,3.2950959591757664e-06
20,0.5300000000000001,0.05598740054182394,0.003600294941271323,0.351291540079812,0.002512919499711435,3.6648109016562588e-06
20,0.5500000000000002,0.05813933922852308,0.0036047238091822457,0.3502436250367116,0.0025054233722918854,3.823719419324255e-06
40,0.35,0.03161443732940538,0.001028422821087429,0.3545067125172805,0.0006177238171169733,3.270615365937909e-07
40,0.37,0.03324120167350475,0.0010571808726415359,0.3546282303717753,0.0006179355605629391,2.872973251253771e-07
40,0.39,0.03502299788710752,0.0011095975154170876,0.35461404944660135,0.0006179108504660087,2.5876250623726564e-07
40,0.41000000000000003,0.036787258495322724,0.0011152877036182665,0.35449586447810444,0.0006177049145350714,2.2087298839375725e-07
40,0.43000000000000005,0.038590009511576984,0.0011338715940347323,0.35425533943152315,0.0006172858024431413,2.6068697543165744e-07
40,0.45000000000000007,0.04044322904347582,0.0011348122217635934,0.3538762832327236,0.0006166253014321403,3.1438644168440586e-07
40,0.4700000000000001,0.04228370901468579,0.0011124730864736775,0.3533624197767199,0.0006157299003457531,3.90501655751642e-07
40,0.4900000000000001,0.04417443764865854,0.0010847812992580467,0.3527503675943454,0.0006146634065474086,4.7027654172851e-07
40,0.5100000000000001,0.046044448892591044,0.0011388877755173497,0.3519700908472517,0.000613303783404592,5.728206205731964e-07
40,0.5300000000000001,0.04804285408392685,0.001140579399475019,0.35104614397934525,0.0006116938167497895,6.110857274628234e-07
40,0.5500000000000002,0.0500917279513995,0.001084824118779653,0.3500023897294736,0.00060987508712748,7.169653570120753e-07
